flight_number,origin,destination,scheduled_departure,scheduled_arrival,inbound_flight_number,inbound_origin,inbound_status,inbound_estimated_arrival,aircraft_latitude,aircraft_longitude,turnaround_time_minutes,gate_status,delay_reason,weather_status,crew_status,passenger_load_factor,estimated_boarding_start,estimated_ready_time
AC720,YHZ,YEG,2025-03-15 11:34,2025-03-15 16:34,AC218,YQB,En Route,2025-03-15 10:23,45.9366,-65.8122,143,Maintenance,De-icing,Heavy Snow,In Transit,0.99,2025-03-15 12:27,2025-03-15 13:10
AC738,YVR,YHZ,2025-03-15 19:28,2025-03-16 00:28,AC779,YEG,Taxiing,2025-03-15 18:50,49.2021,-123.2123,44,Assigned,None,Rain,On Duty,0.68,2025-03-15 18:57,2025-03-15 19:47
AC515,YUL,YYC,2025-03-15 05:00,2025-03-15 10:00,AC953,YQB,Cancelled,2025-03-15 04:53,46.7911,-71.3933,102,Occupied,Blizzard,Thunderstorm,Rest Period,0.92,2025-03-15 05:58,2025-03-15 06:46
AC390,YUL,YVR,2025-03-15 15:48,2025-03-15 20:48,AC779,YQB,Delayed,2025-03-15 15:38,46.6046,-71.3309,46,Assigned,Fueling,Fog,In Transit,0.78,2025-03-15 15:25,2025-03-15 16:06
AC835,YQB,YOW,2025-03-15 11:49,2025-03-15 13:40,AC606,YEG,En Route,2025-03-15 11:06,48.8237,-84.7204,75,Assigned,ATC,Overcast,In Transit,0.78,2025-03-15 11:44,2025-03-15 12:25
AC672,YWG,YYJ,2025-03-15 20:12,2025-03-16 01:12,AC873,YHZ,On Time,2025-03-15 19:45,46.2643,-70.7594,60,Occupied,Catering,Overcast,In Transit,0.88,2025-03-15 20:13,2025-03-15 20:57
AC741,YYJ,YWG,2025-03-15 12:30,2025-03-15 17:30,AC381,YOW,En Route,2025-03-15 12:06,46.9366,-95.8642,94,Unassigned,Technical,Thunderstorm,In Transit,0.86,2025-03-15 13:48,2025-03-15 14:29
AC577,YHZ,YYJ,2025-03-15 08:31,2025-03-15 13:31,AC163,YWG,Delayed,2025-03-15 08:13,49.0491,-91.8119,56,Occupied,ATC,Overcast,Standby,0.75,2025-03-15 08:18,2025-03-15 09:04
AC599,YYJ,YOW,2025-03-15 12:26,2025-03-15 17:26,AC379,YOW,En Route,2025-03-15 11:42,47.7034,-103.9338,64,Occupied,Catering,Fog,Standby,0.91,2025-03-15 12:13,2025-03-15 13:03
AC987,YEG,YUL,2025-03-15 05:51,2025-03-15 10:51,AC286,YYJ,Landed,2025-03-15 05:00,53.2875,-113.5376,47,Assigned,None,Overcast,On Duty,0.79,2025-03-15 05:21,2025-03-15 06:07
AC119,YVR,YWG,2025-03-15 10:58,2025-03-15 15:58,AC153,YQB,Taxiing,2025-03-15 10:33,49.2088,-123.2076,35,Open,None,Clear,Ready,0.65,2025-03-15 10:20,2025-03-15 11:07
AC576,YQB,YOW,2025-03-15 11:17,2025-03-15 13:06,AC885,YYC,On Time,2025-03-15 11:12,49.1914,-93.8092,45,Occupied,ATC,Fog,Standby,0.77,2025-03-15 11:11,2025-03-15 11:57
AC706,YOW,YVR,2025-03-15 16:53,2025-03-15 21:53,AC204,YYC,Landed,2025-03-15 16:24,45.3231,-75.6851,37,Open,None,Overcast,On Duty,0.77,2025-03-15 16:16,2025-03-15 17:02
AC470,YVR,YEG,2025-03-15 07:36,2025-03-15 10:44,AC824,YYJ,Delayed,2025-03-15 06:20,49.0724,-123.0625,150,Occupied,Blizzard,Fog,Rest Period,0.92,2025-03-15 09:54,2025-03-15 10:35
AC868,YWG,YOW,2025-03-15 15:24,2025-03-15 20:24,AC683,YYJ,Landed,2025-03-15 14:28,49.9398,-97.2558,46,Assigned,None,Overcast,Ready,0.72,2025-03-15 14:54,2025-03-15 15:43
AC110,YYC,YYJ,2025-03-15 06:27,2025-03-15 09:20,AC295,YQB,En Route,2025-03-15 05:57,49.5792,-103.0429,132,Occupied,Crew,Fog,In Transit,0.96,2025-03-15 08:16,2025-03-15 08:59
AC584,YQB,YHZ,2025-03-15 10:52,2025-03-15 13:32,AC643,YYJ,Taxiing,2025-03-15 10:15,46.8132,-71.4117,38,Assigned,None,Overcast,On Duty,0.66,2025-03-15 10:22,2025-03-15 11:10
AC321,YUL,YOW,2025-03-15 17:21,2025-03-15 18:52,AC383,YYJ,En Route,2025-03-15 16:57,46.0837,-89.627,76,Maintenance,Technical,Blizzard,Rest Period,0.88,2025-03-15 18:38,2025-03-15 19:18
AC205,YUL,YWG,2025-03-15 09:51,2025-03-15 14:51,AC687,YYZ,Delayed,2025-03-15 09:24,43.611,-78.3165,47,Assigned,ATC,Gusty Winds,Standby,0.77,2025-03-15 09:40,2025-03-15 10:20
AC187,YQB,YYC,2025-03-15 14:31,2025-03-15 19:31,AC221,YOW,Landed,2025-03-15 13:49,46.7716,-71.3812,48,Assigned,None,Overcast,On Duty,0.67,2025-03-15 13:58,2025-03-15 14:47
AC740,YVR,YOW,2025-03-15 16:16,2025-03-15 21:16,AC370,YYC,Delayed,2025-03-15 15:03,50.5812,-115.1392,135,Occupied,Weather,Blizzard,Delayed,0.91,2025-03-15 17:22,2025-03-15 18:09
AC906,YOW,YYC,2025-03-15 06:57,2025-03-15 11:57,AC535,YYC,On Time,2025-03-15 06:11,49.7274,-102.182,44,Open,None,Clear,Ready,0.64,2025-03-15 06:21,2025-03-15 07:08
AC378,YYC,YEG,2025-03-15 13:25,2025-03-15 14:55,AC652,YQB,On Time,2025-03-15 12:46,49.2146,-91.8151,42,Assigned,None,Rain,On Duty,0.61,2025-03-15 12:46,2025-03-15 13:26
AC881,YYC,YYZ,2025-03-15 13:51,2025-03-15 18:51,AC581,YUL,Cancelled,2025-03-15 12:47,45.4706,-73.7408,127,Occupied,De-icing,Fog,Delayed,0.92,2025-03-15 15:07,2025-03-15 15:52
AC437,YVR,YUL,2025-03-15 13:27,2025-03-15 18:27,AC810,YWG,Taxiing,2025-03-15 12:49,49.1583,-123.1542,45,Open,None,Overcast,Ready,0.68,2025-03-15 12:59,2025-03-15 13:47
AC573,YYZ,YYJ,2025-03-15 08:12,2025-03-15 13:12,AC155,YWG,Cancelled,2025-03-15 08:21,49.91,-97.2398,111,Unassigned,Weather,Blizzard,Rest Period,0.93,2025-03-15 10:24,2025-03-15 11:11
AC129,YWG,YVR,2025-03-15 07:42,2025-03-15 12:42,AC826,YOW,En Route,2025-03-15 08:02,47.987,-89.392,90,Unassigned,Weather,Blizzard,Delayed,0.92,2025-03-15 07:50,2025-03-15 08:34
AC954,YYC,YEG,2025-03-15 09:09,2025-03-15 10:39,AC583,YYJ,On Time,2025-03-15 08:21,49.5482,-119.116,70,Assigned,Passenger,Fog,In Transit,0.8,2025-03-15 08:48,2025-03-15 09:32
AC957,YYC,YQB,2025-03-15 07:32,2025-03-15 12:32,AC986,YYJ,En Route,2025-03-15 07:17,50.4713,-115.6395,99,Unassigned,Blizzard,Fog,Rest Period,0.99,2025-03-15 09:40,2025-03-15 10:26
AC495,YWG,YEG,2025-03-15 05:37,2025-03-15 09:51,AC607,YUL,Taxiing,2025-03-15 04:51,49.901,-97.2243,39,Assigned,None,Clear,On Duty,0.6,2025-03-15 05:07,2025-03-15 05:49
AC738,YYC,YHZ,2025-03-15 06:22,2025-03-15 11:22,AC765,YWG,Landed,2025-03-15 05:40,51.1446,-113.9685,42,Assigned,None,Rain,Ready,0.75,2025-03-15 05:54,2025-03-15 06:37
AC878,YEG,YVR,2025-03-15 07:50,2025-03-15 11:07,AC554,YVR,Cancelled,2025-03-15 07:02,49.1967,-123.1815,93,Unassigned,Weather,Thunderstorm,Rest Period,0.91,2025-03-15 08:02,2025-03-15 08:45
AC274,YQB,YUL,2025-03-15 15:24,2025-03-15 17:13,AC180,YUL,Delayed,2025-03-15 15:02,45.9409,-72.8025,53,Assigned,Catering,Fog,In Transit,0.83,2025-03-15 15:18,2025-03-15 16:05
AC175,YYJ,YUL,2025-03-15 15:01,2025-03-15 20:01,AC453,YWG,En Route,2025-03-15 14:45,49.4382,-108.4372,88,Unassigned,Technical,Blizzard,Rest Period,0.98,2025-03-15 16:54,2025-03-15 17:38
AC108,YEG,YYC,2025-03-15 17:43,2025-03-15 19:14,AC720,YYZ,Landed,2025-03-15 17:13,53.3225,-113.5424,39,Assigned,None,Clear,Ready,0.76,2025-03-15 17:10,2025-03-15 18:00
AC693,YWG,YYZ,2025-03-15 07:14,2025-03-15 11:50,AC849,YHZ,Landed,2025-03-15 06:31,49.9131,-97.1985,46,Open,None,Clear,Ready,0.8,2025-03-15 06:44,2025-03-15 07:26
AC864,YWG,YYC,2025-03-15 06:57,2025-03-15 11:22,AC923,YHZ,On Time,2025-03-15 06:07,44.9524,-63.7886,47,Assigned,None,Rain,On Duty,0.62,2025-03-15 06:21,2025-03-15 07:11
AC942,YYC,YEG,2025-03-15 16:31,2025-03-15 17:54,AC210,YEG,Cancelled,2025-03-15 16:16,53.3097,-113.5827,134,Occupied,Technical,Blizzard,In Transit,0.86,2025-03-15 16:42,2025-03-15 17:26
AC146,YVR,YUL,2025-03-15 13:24,2025-03-15 18:24,AC411,YYZ,En Route,2025-03-15 12:47,48.0351,-110.5755,75,Occupied,Late Inbound,Overcast,Standby,0.81,2025-03-15 13:06,2025-03-15 13:48
AC730,YVR,YWG,2025-03-15 05:33,2025-03-15 10:33,AC386,YWG,Cancelled,2025-03-15 05:07,49.91,-97.2398,122,Unassigned,Crew,Thunderstorm,Delayed,1.0,2025-03-15 06:33,2025-03-15 07:21
AC507,YHZ,YYZ,2025-03-15 07:05,2025-03-15 11:38,AC294,YYC,Cancelled,2025-03-15 06:26,51.1315,-114.0106,106,Occupied,Blizzard,Heavy Snow,Delayed,0.97,2025-03-15 07:33,2025-03-15 08:15
AC949,YOW,YVR,2025-03-15 15:00,2025-03-15 20:00,AC312,YQB,Delayed,2025-03-15 13:34,46.2815,-71.7681,144,Occupied,Weather,Thunderstorm,Delayed,1.0,2025-03-15 16:29,2025-03-15 17:09
AC702,YHZ,YOW,2025-03-15 07:58,2025-03-15 11:22,AC116,YEG,On Time,2025-03-15 07:15,50.7557,-100.7289,46,Open,None,Rain,Ready,0.72,2025-03-15 07:22,2025-03-15 08:11
AC569,YYJ,YYC,2025-03-15 13:10,2025-03-15 16:23,AC162,YYZ,Landed,2025-03-15 12:26,48.6291,-123.4612,37,Assigned,None,Rain,On Duty,0.62,2025-03-15 12:43,2025-03-15 13:25
AC829,YQB,YYJ,2025-03-15 15:11,2025-03-15 20:11,AC490,YHZ,Landed,2025-03-15 14:36,46.7841,-71.3545,41,Assigned,None,Clear,Ready,0.81,2025-03-15 14:45,2025-03-15 15:31
AC525,YWG,YEG,2025-03-15 12:17,2025-03-15 16:37,AC420,YVR,Taxiing,2025-03-15 11:41,49.8693,-97.2801,37,Open,None,Rain,On Duty,0.62,2025-03-15 11:45,2025-03-15 12:30
AC700,YYJ,YYZ,2025-03-15 10:37,2025-03-15 15:37,AC675,YQB,Delayed,2025-03-15 10:02,46.8946,-74.4339,120,Occupied,De-icing,Heavy Snow,Rest Period,0.94,2025-03-15 12:27,2025-03-15 13:14
AC965,YVR,YHZ,2025-03-15 06:57,2025-03-15 11:57,AC476,YQB,Landed,2025-03-15 06:17,49.217,-123.2006,43,Open,None,Rain,On Duty,0.61,2025-03-15 06:24,2025-03-15 07:09
AC679,YUL,YQB,2025-03-15 07:25,2025-03-15 09:10,AC171,YWG,Taxiing,2025-03-15 06:37,45.4576,-73.7186,40,Open,None,Overcast,On Duty,0.71,2025-03-15 06:45,2025-03-15 07:34
AC261,YYZ,YUL,2025-03-15 06:23,2025-03-15 08:34,AC790,YVR,Delayed,2025-03-15 05:37,47.6281,-112.4126,69,Unassigned,Passenger,Overcast,Standby,0.8,2025-03-15 06:19,2025-03-15 07:09
AC783,YWG,YYJ,2025-03-15 08:45,2025-03-15 13:45,AC146,YYC,On Time,2025-03-15 08:01,50.4388,-111.0121,54,Assigned,Fueling,Fog,In Transit,0.88,2025-03-15 08:21,2025-03-15 09:03
AC612,YYJ,YOW,2025-03-15 16:24,2025-03-15 21:24,AC953,YQB,Landed,2025-03-15 15:49,48.6831,-123.4184,37,Open,None,Overcast,Ready,0.71,2025-03-15 15:46,2025-03-15 16:35
AC217,YEG,YYC,2025-03-15 10:32,2025-03-15 11:53,AC121,YWG,On Time,2025-03-15 10:16,50.551,-101.2213,52,Occupied,Fueling,Light Snow,Standby,0.89,2025-03-15 10:21,2025-03-15 11:05
AC897,YOW,YHZ,2025-03-15 13:42,2025-03-15 17:18,AC178,YUL,Delayed,2025-03-15 13:54,45.0995,-74.2713,93,Maintenance,Technical,Thunderstorm,In Transit,0.99,2025-03-15 16:02,2025-03-15 16:51
AC891,YVR,YUL,2025-03-15 17:52,2025-03-15 22:52,AC575,YYJ,Taxiing,2025-03-15 17:23,49.1936,-123.1684,37,Assigned,None,Rain,On Duty,0.64,2025-03-15 17:26,2025-03-15 18:10
AC175,YHZ,YYJ,2025-03-15 12:42,2025-03-15 17:42,AC572,YYC,En Route,2025-03-15 12:21,47.7199,-85.7159,57,Unassigned,ATC,Light Snow,Ready,0.85,2025-03-15 12:28,2025-03-15 13:08
AC429,YQB,YOW,2025-03-15 07:34,2025-03-15 09:48,AC613,YWG,En Route,2025-03-15 06:48,47.2985,-75.2886,59,Unassigned,ATC,Fog,In Transit,0.79,2025-03-15 07:23,2025-03-15 08:08
AC518,YYC,YEG,2025-03-15 15:12,2025-03-15 16:29,AC795,YEG,Taxiing,2025-03-15 14:25,51.1148,-114.0023,39,Assigned,None,Clear,On Duty,0.67,2025-03-15 14:42,2025-03-15 15:24
AC232,YYC,YEG,2025-03-15 14:32,2025-03-15 16:00,AC417,YVR,En Route,2025-03-15 13:08,50.0248,-118.9249,140,Occupied,Blizzard,Heavy Snow,In Transit,0.95,2025-03-15 16:01,2025-03-15 16:44
AC331,YWG,YOW,2025-03-15 06:19,2025-03-15 11:19,AC258,YUL,On Time,2025-03-15 05:39,47.587,-83.1996,40,Open,None,Rain,On Duty,0.64,2025-03-15 05:40,2025-03-15 06:22
AC473,YYZ,YEG,2025-03-15 15:25,2025-03-15 20:25,AC554,YYC,En Route,2025-03-15 14:55,47.8345,-96.2537,99,Occupied,Crew,Thunderstorm,Rest Period,0.99,2025-03-15 17:24,2025-03-15 18:11
AC640,YEG,YYJ,2025-03-15 18:56,2025-03-15 22:02,AC265,YWG,En Route,2025-03-15 17:47,52.3065,-109.5303,141,Maintenance,De-icing,Thunderstorm,In Transit,0.99,2025-03-15 19:36,2025-03-15 20:20
AC950,YYJ,YUL,2025-03-15 20:32,2025-03-16 01:32,AC193,YEG,Delayed,2025-03-15 20:01,51.991,-115.7587,52,Assigned,Catering,Light Snow,Standby,0.84,2025-03-15 20:35,2025-03-15 21:20
AC240,YHZ,YUL,2025-03-15 20:39,2025-03-15 23:57,AC393,YYZ,Cancelled,2025-03-15 20:37,43.6777,-79.6248,102,Unassigned,Blizzard,Heavy Snow,Delayed,0.85,2025-03-15 21:19,2025-03-15 22:01
AC533,YQB,YYJ,2025-03-15 09:55,2025-03-15 14:55,AC894,YVR,Delayed,2025-03-15 08:53,48.6316,-110.1069,73,Assigned,Catering,Overcast,In Transit,0.77,2025-03-15 09:33,2025-03-15 10:22
AC539,YUL,YYC,2025-03-15 11:01,2025-03-15 16:01,AC729,YYZ,Taxiing,2025-03-15 10:21,45.4596,-73.7438,35,Open,None,Rain,On Duty,0.62,2025-03-15 10:34,2025-03-15 11:24
AC865,YHZ,YYC,2025-03-15 18:27,2025-03-15 23:27,AC465,YYZ,Landed,2025-03-15 17:51,44.8854,-63.4772,46,Open,None,Rain,On Duty,0.63,2025-03-15 17:54,2025-03-15 18:36
AC746,YWG,YQB,2025-03-15 07:18,2025-03-15 12:18,AC930,YUL,En Route,2025-03-15 06:07,49.0968,-92.3647,115,Unassigned,Crew,Heavy Snow,Delayed,0.98,2025-03-15 09:20,2025-03-15 10:08
AC392,YYZ,YOW,2025-03-15 18:19,2025-03-15 20:01,AC982,YEG,On Time,2025-03-15 17:24,48.5423,-97.6559,73,Assigned,Fueling,Overcast,Standby,0.88,2025-03-15 18:04,2025-03-15 18:51
AC920,YYJ,YYC,2025-03-15 12:14,2025-03-15 15:02,AC844,YVR,Landed,2025-03-15 11:37,48.6275,-123.4157,44,Assigned,None,Overcast,Ready,0.62,2025-03-15 11:39,2025-03-15 12:25
AC557,YWG,YHZ,2025-03-15 19:50,2025-03-16 00:50,AC844,YYZ,Landed,2025-03-15 19:08,49.9553,-97.2755,40,Open,None,Clear,On Duty,0.69,2025-03-15 19:23,2025-03-15 20:12
AC229,YWG,YYZ,2025-03-15 18:17,2025-03-15 23:11,AC341,YVR,Delayed,2025-03-15 17:43,49.5925,-118.2822,56,Occupied,ATC,Fog,Ready,0.83,2025-03-15 18:03,2025-03-15 18:51
AC355,YHZ,YYC,2025-03-15 17:33,2025-03-15 22:33,AC126,YVR,Landed,2025-03-15 16:59,44.9304,-63.53,41,Open,None,Overcast,On Duty,0.78,2025-03-15 17:05,2025-03-15 17:52
AC562,YUL,YVR,2025-03-15 12:35,2025-03-15 17:35,AC830,YOW,Taxiing,2025-03-15 11:56,45.4918,-73.6981,40,Open,None,Rain,On Duty,0.82,2025-03-15 12:05,2025-03-15 12:55
AC329,YHZ,YYJ,2025-03-15 18:31,2025-03-15 23:31,AC305,YVR,On Time,2025-03-15 17:42,47.4624,-105.1138,39,Assigned,None,Rain,On Duty,0.72,2025-03-15 18:06,2025-03-15 18:53
AC228,YEG,YVR,2025-03-15 06:15,2025-03-15 09:24,AC757,YHZ,Delayed,2025-03-15 05:27,48.8712,-85.228,74,Unassigned,Late Inbound,Fog,In Transit,0.82,2025-03-15 06:11,2025-03-15 06:55
AC454,YHZ,YOW,2025-03-15 19:26,2025-03-15 22:44,AC390,YQB,Landed,2025-03-15 18:59,44.8811,-63.5417,37,Assigned,None,Clear,On Duty,0.75,2025-03-15 18:52,2025-03-15 19:41
AC962,YQB,YHZ,2025-03-15 19:44,2025-03-15 22:11,AC945,YYZ,On Time,2025-03-15 19:06,44.1702,-76.6918,48,Assigned,None,Rain,Ready,0.79,2025-03-15 19:05,2025-03-15 19:53
AC350,YYC,YWG,2025-03-15 12:44,2025-03-15 16:57,AC404,YWG,Taxiing,2025-03-15 11:54,51.1422,-114.0293,45,Assigned,None,Overcast,On Duty,0.72,2025-03-15 12:05,2025-03-15 12:50
AC233,YHZ,YEG,2025-03-15 14:35,2025-03-15 19:35,AC627,YEG,Cancelled,2025-03-15 14:53,53.3097,-113.5827,81,Maintenance,Technical,Fog,Delayed,0.87,2025-03-15 15:41,2025-03-15 16:25
AC354,YQB,YEG,2025-03-15 10:35,2025-03-15 15:35,AC933,YUL,En Route,2025-03-15 09:21,46.3288,-73.0012,138,Maintenance,De-icing,Fog,Rest Period,0.98,2025-03-15 12:00,2025-03-15 12:43
AC151,YHZ,YYZ,2025-03-15 15:11,2025-03-15 19:42,AC606,YYC,Taxiing,2025-03-15 14:27,44.9036,-63.4822,43,Open,None,Clear,On Duty,0.63,2025-03-15 14:46,2025-03-15 15:31
AC299,YYZ,YYJ,2025-03-15 09:55,2025-03-15 14:55,AC666,YEG,Landed,2025-03-15 09:24,43.6671,-79.5953,38,Assigned,None,Rain,Ready,0.63,2025-03-15 09:29,2025-03-15 10:14
AC303,YHZ,YUL,2025-03-15 13:32,2025-03-15 16:25,AC511,YQB,En Route,2025-03-15 12:42,44.9194,-64.7234,64,Occupied,Fueling,Overcast,Ready,0.83,2025-03-15 13:08,2025-03-15 13:53
AC707,YQB,YYC,2025-03-15 19:08,2025-03-16 00:08,AC619,YHZ,Taxiing,2025-03-15 18:38,46.8391,-71.3849,38,Assigned,None,Overcast,Ready,0.69,2025-03-15 18:43,2025-03-15 19:33
AC771,YWG,YYC,2025-03-15 05:52,2025-03-15 10:21,AC838,YOW,Landed,2025-03-15 05:20,49.8791,-97.2457,38,Assigned,None,Clear,Ready,0.61,2025-03-15 05:17,2025-03-15 06:03
AC613,YOW,YEG,2025-03-15 19:28,2025-03-16 00:28,AC993,YYJ,Taxiing,2025-03-15 18:32,45.325,-75.6878,50,Open,None,Rain,On Duty,0.85,2025-03-15 18:49,2025-03-15 19:31
AC659,YYJ,YHZ,2025-03-15 18:10,2025-03-15 23:10,AC792,YHZ,On Time,2025-03-15 17:47,45.6566,-79.7552,53,Occupied,Fueling,Overcast,In Transit,0.91,2025-03-15 18:06,2025-03-15 18:50
AC424,YOW,YWG,2025-03-15 14:33,2025-03-15 19:33,AC457,YYJ,En Route,2025-03-15 14:16,46.9061,-101.2557,93,Maintenance,Blizzard,Fog,Rest Period,0.97,2025-03-15 15:48,2025-03-15 16:33
AC319,YYC,YWG,2025-03-15 14:11,2025-03-15 18:30,AC947,YOW,En Route,2025-03-15 12:46,47.519,-92.3303,142,Maintenance,Blizzard,Blizzard,Delayed,0.86,2025-03-15 15:25,2025-03-15 16:10
AC105,YVR,YUL,2025-03-15 11:56,2025-03-15 16:56,AC261,YQB,Cancelled,2025-03-15 11:35,46.7911,-71.3933,86,Unassigned,Technical,Thunderstorm,In Transit,0.86,2025-03-15 14:03,2025-03-15 14:53
AC279,YYJ,YYZ,2025-03-15 08:00,2025-03-15 13:00,AC957,YEG,En Route,2025-03-15 07:19,50.7935,-119.964,63,Unassigned,Late Inbound,Gusty Winds,In Transit,0.75,2025-03-15 08:01,2025-03-15 08:48
AC605,YYJ,YQB,2025-03-15 13:36,2025-03-15 18:36,AC971,YUL,Cancelled,2025-03-15 12:52,45.4706,-73.7408,98,Unassigned,Crew,Fog,In Transit,0.89,2025-03-15 14:30,2025-03-15 15:10
AC279,YYC,YOW,2025-03-15 12:17,2025-03-15 17:17,AC946,YWG,Cancelled,2025-03-15 12:02,49.91,-97.2398,106,Occupied,Weather,Blizzard,Delayed,0.92,2025-03-15 12:44,2025-03-15 13:24
AC871,YOW,YWG,2025-03-15 10:09,2025-03-15 15:09,AC437,YHZ,Taxiing,2025-03-15 09:29,45.319,-75.7032,38,Assigned,None,Rain,Ready,0.62,2025-03-15 09:29,2025-03-15 10:19
AC754,YYC,YVR,2025-03-15 15:29,2025-03-15 18:18,AC476,YHZ,En Route,2025-03-15 14:47,48.2349,-90.2389,56,Unassigned,Late Inbound,Overcast,Ready,0.92,2025-03-15 15:34,2025-03-15 16:22
